address,port
163.172.207.198,9999
163.172.204.219,9999
163.172.226.201,9999
163.172.207.71,9999
163.172.226.137,9999
163.172.226.218,8443
212.129.13.124,8443
163.172.226.194,8443
163.172.207.69,8443
163.172.226.128,8443
163.172.226.131,8443
163.172.226.114,8443
163.172.207.198,8443
163.172.204.219,8443
163.172.226.201,8443
163.172.207.71,8443
163.172.226.137,8443
37.59.52.83,3333
37.59.52.83,80
37.59.52.83,443
37.59.52.83,5555
37.59.52.83,7777
37.59.52.83,8080
37.59.52.83,9000
158.69.255.67,80
158.69.255.67,443
158.69.255.67,3333
158.69.255.67,5555
158.69.255.67,7777
158.69.255.67,8080
158.69.255.67,9000
45.125.194.34,80
45.125.194.34,443
45.125.194.34,3333
45.125.194.34,5555
45.125.194.34,7777
45.125.194.34,8080
45.125.194.34,9000
192.110.160.114,80
192.110.160.114,443
192.110.160.114,3333
192.110.160.114,5555
192.110.160.114,7777
192.110.160.114,8080
192.110.160.114,9000
94.130.12.30,80
94.130.12.30,443
94.130.12.30,3333
94.130.12.30,5555
94.130.12.30,7777
94.130.12.30,8080
94.130.12.30,9000
94.130.12.27,80
94.130.12.27,443
94.130.12.27,3333
94.130.12.27,5555
94.130.12.27,7777
94.130.12.27,8080
94.130.12.27,9000
192.110.160.114,80
192.110.160.114,443
192.110.160.114,3333
192.110.160.114,5555
192.110.160.114,7777
192.110.160.114,8080
192.110.160.114,9000
104.140.244.186,80
104.140.244.186,443
104.140.244.186,3333
104.140.244.186,5555
104.140.244.186,7777
104.140.244.186,8080
104.140.244.186,9000
138.201.31.12,80
138.201.31.13,80
138.201.31.14,80
138.201.31.12,443
138.201.31.13,443
138.201.31.14,443
138.201.31.12,8080
138.201.31.13,8080
138.201.31.14,8080
138.201.31.12,3333
138.201.31.13,3333
138.201.31.14,3333
138.201.31.12,3334
138.201.31.13,3334
138.201.31.14,3334
138.201.31.12,3335
138.201.31.13,3335
138.201.31.14,3335
138.201.31.12,3336
138.201.31.13,3336
138.201.31.14,3336
198.251.81.82,3333
107.191.99.227,3333
198.251.81.82,5555
107.191.99.227,5555
198.251.81.82,7777
107.191.99.227,7777
198.251.81.82,9999
107.191.99.227,9999
198.251.81.82,80
107.191.99.227,80
195.85.215.220,13333
195.85.215.220,13334
195.85.215.220,1334
52.28.149.51,3333
176.31.122.170,3336
137.74.40.81,3333
5.189.133.40,4444
144.217.93.28,3337
144.217.93.28,3332
144.217.93.28,3371
144.217.93.28,3334
144.217.93.28,3335
5.196.5.91,3337
5.196.5.92,3337
5.196.5.91,3332
5.196.5.92,3332
5.196.5.91,3371
5.196.5.92,3371
5.196.5.91,3334
5.196.5.92,3334
5.196.5.91,3335
5.196.5.92,3335
192.99.2.139,4608
5.196.74.100,9171
198.20.67.78,9171
176.9.122.21,3336
176.9.122.21,3357
213.239.196.214,55751
5.9.58.111,55751
138.201.124.177,51777
138.201.60.198,51777
138.201.124.177,45777
138.201.60.198,45777
78.46.23.253,45560
136.243.102.157,45560
136.243.94.27,45560
176.9.0.89,45560
94.130.64.225,45560
136.243.88.145,45560
46.4.120.155,45560
176.9.47.243,45560
94.130.48.154,45560
176.9.147.178,45560
94.130.9.194,45560
